status,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
open,3,3,3,3,3,3,3,3,3,4,4,4,4,4,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,9,10,10,10,10,10,10,11,11,9,9,9,10,10,11,11,11,12,12,12,12,13,14,15,15,11,11,11,11,11,10,12,16,15,15,20,21,25,26,26
open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,7,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,9,10,10,10,11,10,10,11,11,12,9
open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,7
open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
solved,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,33,45,48,48,48
solved,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2
solved,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
solved,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2
all_status_num,3,3,3,3,3,3,3,3,3,4,4,4,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,11,11,11,11,12,13,13,13,14,14,14,15,15,16,16,16,17,17,18,18,18,19,19,19,19,20,21,22,22,22,22,22,22,23,23,25,29,29,29,34,36,40,42,42
all_status_num,87,90,111,123,128,131,142,198,231,249,277,281,284,322,347,388,415,445,450,453,485,507,526,559,574,579,581,599,626,644,677,688,689,691,718,742,770,809,843,852,859,923,962,1021,1050,1082,1088,1093,1156,1186,1206,1289,1312,1321,1333,1378,1403,1422,1462,1495,1507,1514,1551,1591,1628,1640,1655,1656,1657,1726,1730,1731,1731,1731
all_status_num,5,5,5,5,5,5,5,5,5,6,6,6,6,9,9,11,11,12,12,12,13,13,13,13,13,13,13,13,13,13,15,15,15,15,15,15,15,15,15,15,15,16,16,17,17,18,18,18,18,18,18,19,19,19,19,20,20,21,24,26,26,26,28,29,30,30,33,33,33,37,37,37,37,37
